Job Title,Salary Estimate,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Per hour,Employer Provided,min_sal,max_sal,avg_sal,Ratings,Company text,Remote,City,State,Age_Company,Size_greater_1000,Seniority
Manager of Data Science,Employer Provided Salary:$170K - $190K,"Tealium
3.9",Remote,501 to 1000 Employees,2008.0,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),0,1,170,170,170.0,3.9,Tealium,1,NA,NA,14.0,1,na
Clinical Data Scientist,Employer Provided Salary:$78K - $181K,Baylor Genetics,Remote,201 to 500 Employees,2015.0,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),0,1,78,78,78.0,-1.0,Baylor Genetics,1,NA,NA,7.0,0,na
Data Scientist,Employer Provided Salary:$150K,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,1,150,0,75.0,4.3,American Capital Group,0,Bellevue,WA,36.0,0,na
"Director, Data Science- SMB Labs",Employer Provided Salary:$214K - $310K,"Indeed
4.3",Remote,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,1,214,214,214.0,4.3,Indeed,1,NA,NA,18.0,1,na
Laboratory Result Data Analyst (B.S. in science required),Employer Provided Salary:$17 Per Hour,ACS Laboratory,"Sun City Center, FL",-1,-1.0,-1,-1,-1,-1,1,1,17,0,8.5,-1.0,ACS Laboratory,0,Sun City Center,FL,-1.0,-1,na
Data Scientist,Employer Provided Salary:$100K - $200K,"Davidson Technologies, Inc.
4.2","Huntsville, AL",201 to 500 Employees,1996.0,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$25 to $50 million (USD),0,1,100,100,100.0,4.2,"Davidson Technologies, Inc.",0,Huntsville,AL,26.0,0,na
"Data Scientist, Product",Employer Provided Salary:$130K - $140K,Ancera,"Atlanta, GA",-1,-1.0,-1,-1,-1,-1,0,1,130,130,130.0,-1.0,Ancera,0,Atlanta,GA,-1.0,-1,na
Data Scientist,$63K - $122K (Glassdoor est.),"Cyient
3.3","Phoenix, AZ",10000+ Employees,1991.0,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),0,0,63,63,63.0,3.3,Cyient,0,Phoenix,AZ,31.0,1,na
Senior Data Scientist,Employer Provided Salary:$150K,"Innovative Precision Health
3.0",Remote,1 to 50 Employees,-1.0,Company - Private,-1,-1,Unknown / Non-Applicable,0,1,150,0,75.0,3.0,Innovative Precision Health,1,NA,NA,-1.0,0,Sr
Associate Data Scientist,$63K - $117K (Glassdoor est.),"NIKE INC
4.1","Yamhill, OR",10000+ Employees,1972.0,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),0,0,63,63,63.0,4.1,NIKE INC,0,Yamhill,OR,50.0,1,na
